service_code,company_code,genre_code,prefecture_name,area_name,gift_code_amount_id,name,star,user_review_count,google_map_url,site_url,postal_code,address,tel,lat,lng,review_approval_email,portfolio_url,event_url,youtube_url,google_place_id
house-builder,,"koumuten-term,construction-company-term",神奈川県,藤沢市,,伊藤建設,,,https://maps.app.goo.gl/LD5j9VjdFeEt3uQv9,https://itokensetsu.com,251-0052,神奈川県藤沢市藤沢1015-23,466512322,35.34198344,139.4838314,,https://itokensetsu.com/works/,https://itokensetsu.com/event/,https://www.youtube.com/watch?v=Q6lwUWX4Nzw&t=1s,ChIJs2bC3U5PGGARZ--7xqM6geI
house-builder,,"koumuten-term,architectural-design-term",大阪府,大阪市,,es ARCHITECT,,,https://maps.app.goo.gl/UyD3f4kohrXgD9T66,https://es-archi.jp/,536-0016,大阪市城東区蒲生2-7-8,661675143,34.6989825,135.5393915,,https://es-archi.jp/works/,https://es-archi.jp/event/,,ChIJBwBQCNzgAGARsV3iriH_ZQc
house-builder,,real-estate-company-term,大阪府,大阪市,,GRAN-STYLE（グランスタイル）,,,https://maps.app.goo.gl/C322r6VTf6ZK2NeP7,https://housing-ns.jp/,530-0026,大阪市北区神山町8-1 梅田辰巳ビル4F,661255421,34.7025553,135.5026027,,https://housing-ns.jp/salelist/,,,ChIJAQAslermAGARLpo9e6czufk
house-builder,,"koumuten-term,house-builder-term",大阪府,大阪市,,Gハウス,,,https://maps.app.goo.gl/oTd3MGEzTJa5R4Cu9,https://g-house.osaka.jp/,535-0022,大阪市旭区新森2丁目23-12,669540648,34.7165552,135.5559174,,https://g-house.osaka.jp/gallery,https://g-house.osaka.jp/event/opendays,,ChIJA8cFqAXhAGARWWDUX7_IhUA
house-builder,,koumuten-term,神奈川県,小田原市,,HIRO工務店（HIRO空間設計）,,,https://maps.app.goo.gl/qveiFYnq2ManTMou5,https://hiro-ks.com/,250-0012,神奈川県小田原市本町2丁目13-15 第八セントラルビル小田原1階A,465203280,35.2493103,139.1590014,,https://hiro-ks.com/sekou.html,,,ChIJv9M5Sf2kGWARlmOjwyo9zkM
house-builder,,"koumuten-term,real-estate-company-term",神奈川県,小田原市,,PLUS STYLE（注文住宅）,,,https://maps.app.goo.gl/5gE3FMFDs35gPBgbA,https://plus-estate.jp/,250-0001,神奈川県小田原市扇町1丁目16－37 宮内ビル101,465208001,35.2645472,139.1603784,,https://plus-estate.jp/,https://plus-estate.jp/works/,,ChIJOVV3enlXGGARWTXOveB5NwI
house-builder,,"koumuten-term,architectural-design-term",神奈川県,愛甲郡,,SARA HOME（桜建築事務所）,,,https://maps.app.goo.gl/WM82y3WY7CchFTBY6,https://sakurakentiku.jp/,243-0303,神奈川県愛甲郡愛川町中津3367-7,462862722,35.5151409,139.3377425,,https://sakurakentiku.jp/works/,https://sakurakentiku.jp/misc_reserve/,,ChIJn5vItiACGWARnUEXovIdatI
house-builder,,"koumuten-term,architectural-design-term,house-builder-term",神奈川県,川崎市,,TAKI HOUSE,,,https://maps.app.goo.gl/tUTAHiaQA2ccE8er7,https://www.taki-house.co.jp/,214-0021,神奈川県川崎市多摩区宿河原2丁目26番1号,449310036,35.6144303,139.5721791,,https://www.taki-house.co.jp/works/?ca=3,https://www.taki-house.co.jp/news/?ca=1,,ChIJvQjkvC7xGGARq2Lt2pd4CzU
house-builder,,"koumuten-term,construction-company-term",大阪府,大阪市,,THE HOUSE（ザ ハウス）,,,https://maps.app.goo.gl/eofsPETcMkpuTwJA6,https://thehouse.style,536-0015,大阪府大阪市城東区新喜多1-7-25 スズビル京橋2F,661852208,34.6966481,135.5394582,,https://thehouse.style/plan/,,,ChIJbdsxNKDhAGARD6Qi5mApZBk
house-builder,,"koumuten-term,architectural-design-term",神奈川県,横浜市,,あすなろ建築工房,,,https://maps.app.goo.gl/PXbG1XFhHkwEhQed7,https://www.asunaro-studio.com/,232-0041,神奈川県横浜市南区睦町1-23-4,453266007,35.43219652,139.6189405,,,,,ChIJqSp7_JpcGGARujHHk86zygU
